time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:19:09.351Z,-0.0906,-0.8634,0.4889,-0.003,-0.0035,-0.0199,-0.0012,-0.001,0.0018,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.353Z,-0.088,-0.8682,0.4892,-0.003,-0.0035,-0.0199,0.0042,-0.0065,-0.0081,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.364Z,-0.0881,-0.8707,0.4886,-0.0118,0.0303,-0.0144,0.0025,-0.0044,-0.0034,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.375Z,-0.0874,-0.8693,0.4891,0.0071,0.0021,-0.0105,0,-0.0007,-0.0061,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.384Z,-0.0883,-0.8716,0.4894,0.0044,0.0332,0.0001,0.0003,-0.0053,-0.0016,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.394Z,-0.0883,-0.8705,0.4866,0.0026,0.0136,-0.0017,-0.0045,-0.0019,0.0024,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.403Z,-0.0892,-0.8668,0.4896,0.0026,0.0136,-0.0017,0.003,-0.0033,-0.0043,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.414Z,-0.088,-0.8687,0.4889,0.0075,0.0078,-0.0056,0.002,-0.0021,-0.0047,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.425Z,-0.0894,-0.8684,0.4873,0.0232,0.0288,-0.0111,0.0018,-0.0024,-0.0029,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.434Z,-0.0906,-0.8717,0.4904,0.0317,-0.0046,-0.0173,0.0055,-0.0024,-0.006,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.444Z,-0.0903,-0.8687,0.4897,0.0171,0.0205,-0.013,0.0043,-0.0051,-0.0027,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.453Z,-0.0902,-0.8695,0.4874,0.0171,0.0205,-0.013,0.0017,-0.0044,-0.0083,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.464Z,-0.0904,-0.8695,0.486,0.0288,0.0062,-0.0015,0.0035,-0.0019,-0.0022,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.474Z,-0.0909,-0.8694,0.4896,0.0272,0.0178,-0.0254,0.0018,-0.0014,-0.0029,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.484Z,-0.0906,-0.8687,0.4888,0.0271,-0.0208,0.0102,0.0034,-0.0019,-0.0068,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.494Z,-0.0904,-0.8671,0.4879,0.0298,0.0034,-0.0175,0.0053,-0.0033,-0.0051,-18.25,60.28,-169.8,135,8,8,3,Bench,1
2026-03-27T04:19:09.504Z,-0.0912,-0.869,0.4901,0.0297,0.0121,-0.0217,0.0026,-0.002,-0.0055,-18.25,60.28,-169.8,135,8,8,3,Bench,1
