time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,dB,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:28:53.322Z,-0.1318,-0.9181,0.3804,0.0065,0.0243,-0.0127,0.0049,-0.0013,-0.003,-29.74,66.34,-160.68,38.22,95,8,6,4,Bench,1
2026-03-27T04:28:53.326Z,-0.1332,-0.9175,0.3793,0.0065,0.0243,-0.0127,0.0036,-0.003,-0.0029,-29.74,66.34,-160.68,38.22,95,8,6,4,Bench,1
2026-03-27T04:28:53.337Z,-0.1323,-0.9164,0.3785,0.0008,-0.0012,0.0047,0.0031,-0.001,-0.0051,-29.74,66.34,-160.67,38.22,95,8,6,4,Bench,1
2026-03-27T04:28:53.347Z,-0.1326,-0.917,0.3814,-0.006,0.0118,-0.014,0.0042,-0.0013,-0.0068,-29.74,66.34,-160.67,38.22,95,8,6,4,Bench,1
2026-03-27T04:28:53.357Z,-0.1326,-0.9173,0.3806,-0.0003,0.0121,-0.0283,0.0015,-0.0045,-0.0057,-29.74,66.34,-160.67,38.22,95,8,6,4,Bench,1
2026-03-27T04:28:53.367Z,-0.1335,-0.9185,0.3785,0.0024,0.0204,-0.0021,0.0048,-0.0025,-0.0026,-29.74,66.34,-160.67,38.22,95,8,6,4,Bench,1
2026-03-27T04:28:53.376Z,-0.1332,-0.9172,0.3802,0.009,0.0231,-0.0002,0.0026,-0.0022,-0.0054,-29.74,66.34,-160.67,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.387Z,-0.1323,-0.9165,0.3805,-0.0031,0.0001,-0.0241,0.0012,-0.0054,-0.006,-29.74,66.34,-160.67,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.397Z,-0.1328,-0.9167,0.3771,0.0003,0.0102,-0.0052,0.0011,-0.0035,-0.0041,-29.74,66.34,-160.68,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.407Z,-0.1332,-0.9153,0.3797,0.0004,-0.0006,0.0208,0.0023,-0.0026,-0.0045,-29.74,66.34,-160.68,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.417Z,-0.1331,-0.9165,0.3816,0.0061,-0.0009,-0.0399,0.003,-0.0018,-0.0064,-29.74,66.34,-160.68,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.426Z,-0.1329,-0.9184,0.3779,0.0029,0.0141,-0.0047,0.0038,-0.0033,-0.0054,-29.74,66.34,-160.68,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.438Z,-0.1334,-0.9178,0.3769,0.0025,0.0265,0.0325,0.0024,-0.0025,-0.0044,-29.74,66.34,-160.68,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.447Z,-0.1331,-0.9185,0.3826,0.0068,0.0171,-0.027,0.0024,-0.0025,-0.0044,-29.73,66.34,-160.68,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.458Z,-0.1328,-0.9197,0.3833,0,0.0433,-0.0426,0.0044,-0.0001,-0.0048,-29.73,66.34,-160.68,59.76,95,8,6,4,Bench,1
2026-03-27T04:28:53.468Z,-0.1325,-0.9154,0.3817,0.0047,-0.0077,-0.0021,0.0044,-0.0001,-0.0048,-29.73,66.34,-160.69,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.476Z,-0.1325,-0.9154,0.3817,-0.0022,-0.0181,0.0027,0.002,-0.0033,-0.0042,-29.73,66.34,-160.69,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.488Z,-0.1317,-0.9197,0.3829,-0.0084,0.0336,-0.0519,0.0044,-0.0025,-0.0048,-29.73,66.34,-160.69,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.497Z,-0.132,-0.9167,0.376,-0.0069,0.0141,0.0039,0.0044,-0.0025,-0.0048,-29.73,66.34,-160.69,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.509Z,-0.1325,-0.9182,0.3791,-0.0054,0.0111,0.0229,0.0008,-0.0025,-0.0039,-29.73,66.34,-160.69,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.517Z,-0.1328,-0.9203,0.3817,0.0028,0.0426,-0.0323,0.0008,-0.0025,-0.0039,-29.72,66.34,-160.69,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.526Z,-0.1316,-0.9154,0.3788,-0.0025,0.0107,-0.013,0.0038,0,-0.0065,-29.72,66.34,-160.7,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.538Z,-0.1313,-0.9175,0.3753,-0.017,0.0017,0.0342,0.0034,-0.0007,-0.0058,-29.72,66.34,-160.7,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.547Z,-0.1322,-0.916,0.3799,-0.0054,0.0133,0.001,0.0034,-0.0007,-0.0058,-29.72,66.34,-160.7,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.558Z,-0.1319,-0.919,0.3789,-0.0108,-0.0079,-0.0136,0.0059,-0.0019,-0.0052,-29.72,66.34,-160.7,54.71,95,8,6,4,Bench,1
2026-03-27T04:28:53.567Z,-0.1319,-0.919,0.3789,-0.0054,0.0089,-0.0054,0.0027,-0.0037,-0.0022,-29.72,66.34,-160.7,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.576Z,-0.132,-0.9174,0.3795,-0.0061,0.0315,-0.0017,0.0039,-0.0042,-0.0045,-29.72,66.34,-160.7,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.586Z,-0.133,-0.9182,0.382,-0.0013,0.017,-0.0196,0.0039,-0.0018,-0.0042,-29.72,66.34,-160.7,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.598Z,-0.1332,-0.9179,0.3811,0.0064,0.0176,-0.0331,0.0036,-0.0008,-0.0039,-29.71,66.34,-160.7,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.609Z,-0.1337,-0.9153,0.3783,0.0091,0.0098,0.0014,0.0068,-0.0054,-0.0026,-29.71,66.34,-160.7,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.618Z,-0.135,-0.9159,0.3836,0.018,-0.0161,-0.0206,0.0036,-0.0024,-0.0013,-29.71,66.34,-160.7,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.626Z,-0.1367,-0.9167,0.3842,0.0377,0.013,-0.0562,0.0036,-0.0024,-0.0013,-29.71,66.34,-160.71,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.638Z,-0.1362,-0.9148,0.3795,0.0294,0.0049,-0.0241,0.0025,-0.0047,-0.0023,-29.71,66.34,-160.71,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.646Z,-0.1381,-0.9196,0.384,0.0485,-0.0093,-0.0051,0.0025,-0.0047,-0.0023,-29.71,66.34,-160.71,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.659Z,-0.1361,-0.9196,0.3788,0.0353,0.0744,-0.0482,0.0029,-0.0044,-0.0018,-29.71,66.34,-160.71,55.79,95,8,6,4,Bench,1
2026-03-27T04:28:53.667Z,-0.1319,-0.9141,0.3713,0.0021,-0.0216,0.1007,0.0029,-0.0044,-0.0018,-29.71,66.34,-160.71,55.79,95,8,6,4,Bench,1
