time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Week
2026-04-04T05:13:13.267Z,-0.0595,-0.8401,0.5408,0.0091,-0.0025,-0.021,0.0061,-0.0017,-0.0051,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.278Z,-0.0596,-0.8391,0.5423,-0.0014,-0.007,-0.0118,0.0056,-0.0024,-0.0051,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.288Z,-0.0597,-0.8388,0.5436,0.0051,-0.0098,-0.0336,0.0059,-0.0006,-0.0041,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.298Z,-0.0597,-0.8391,0.5422,0.0005,-0.0062,-0.035,0.0036,-0.0023,-0.0055,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.308Z,-0.0592,-0.8394,0.5419,0.0003,-0.0082,-0.0199,0.0027,-0.0026,-0.0033,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.318Z,-0.0596,-0.8405,0.5413,-0.0034,0.0013,-0.022,0.0009,-0.0033,-0.0031,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.328Z,-0.0601,-0.8394,0.5426,0.0026,0.0054,-0.0185,0.0028,-0.002,-0.0053,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.338Z,-0.0597,-0.8394,0.5421,0.0066,-0.0048,-0.0332,0.0007,-0.0039,-0.0028,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.348Z,-0.0596,-0.8401,0.5421,0.0008,-0.001,-0.0232,0.0031,-0.0026,-0.0022,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.358Z,-0.06,-0.8394,0.5419,0.0024,0.0007,-0.0208,0.0057,-0.0014,-0.0051,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.368Z,-0.06,-0.84,0.5434,0.0081,-0.0053,-0.0284,0.0019,-0.0022,-0.0046,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.378Z,-0.0595,-0.84,0.5414,0.0021,0.0074,-0.0333,0.0024,-0.0026,-0.0054,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.388Z,-0.0592,-0.8396,0.5417,0.0002,-0.0029,-0.0117,0.0007,-0.0023,-0.0048,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.398Z,-0.0592,-0.8402,0.5425,-0.0056,0.0022,-0.026,0.0012,-0.0011,-0.0044,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.408Z,-0.0605,-0.8397,0.5425,0.0042,0.0009,-0.0259,0.0011,-0.0014,-0.0044,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.418Z,-0.0597,-0.8393,0.542,0.009,-0.0025,-0.0276,0.0031,-0.003,-0.0029,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.428Z,-0.0589,-0.8394,0.5416,-0.0017,-0.0032,-0.0216,0.0019,-0.0005,-0.0043,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.438Z,-0.0592,-0.8399,0.5423,-0.0033,-0.0049,-0.02,-0.0001,-0.001,-0.005,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.448Z,-0.0597,-0.8396,0.5429,-0.0017,-0.0003,-0.0332,0.0008,-0.0016,-0.0066,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.458Z,-0.0593,-0.8397,0.5418,0.0029,-0.0028,-0.0286,0.0018,-0.0012,-0.0039,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.468Z,-0.0591,-0.8397,0.5416,-0.0026,-0.0021,-0.0177,0.0035,-0.0032,-0.0029,-145.46,57.12,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.478Z,-0.059,-0.8398,0.5418,-0.0027,-0.0002,-0.0252,0.0007,-0.0007,-0.0059,-145.46,57.12,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.488Z,-0.0596,-0.8386,0.5417,-0.0015,-0.0048,-0.0205,-0.0015,-0.0023,-0.0026,-145.46,57.12,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.498Z,-0.0598,-0.8397,0.5414,0.0022,-0.0122,-0.0232,0.0003,-0.0023,-0.0031,-145.46,57.13,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.509Z,-0.0598,-0.8401,0.5416,0.0031,0.0009,-0.0211,0.0005,-0.0007,-0.0046,-145.46,57.13,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.518Z,-0.0605,-0.8395,0.5407,0.0058,-0.0017,-0.0196,0.0005,-0.0007,-0.0046,-145.46,57.13,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.528Z,-0.06,-0.8396,0.5404,0.0115,-0.0076,-0.0112,-0.0007,-0.0022,-0.0069,-145.46,57.13,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.539Z,-0.0599,-0.841,0.5397,0.0022,0.0065,-0.0092,-0.0032,-0.0017,-0.0038,-145.46,57.13,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.548Z,-0.0597,-0.8397,0.5406,0.0063,0.0027,-0.0039,-0.0032,-0.0017,-0.0038,-145.46,57.13,-173.72,135,8,5,1,Bench,2
2026-04-04T05:13:13.560Z,-0.06,-0.8394,0.5416,0.0046,-0.0026,-0.0185,-0.0011,-0.0012,-0.0058,-145.46,57.13,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.568Z,-0.0593,-0.8394,0.5415,0.0058,-0.0073,-0.0247,-0.0011,-0.0012,-0.0058,-145.46,57.14,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.578Z,-0.0598,-0.8399,0.5418,-0.0021,-0.005,-0.0212,0.0005,-0.0001,-0.004,-145.46,57.14,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.588Z,-0.0601,-0.8398,0.5411,0.0041,-0.0024,-0.0284,0.0006,-0.0033,-0.006,-145.46,57.14,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.599Z,-0.06,-0.8399,0.541,0.0057,-0.0025,-0.0164,0.0007,-0.0007,-0.0045,-145.46,57.14,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.610Z,-0.0594,-0.8403,0.5416,0.0046,0.0008,-0.0196,0.0001,-0.0035,-0.0035,-145.46,57.14,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.618Z,-0.0592,-0.84,0.5418,-0.001,0.0004,-0.0255,0.0001,-0.0035,-0.0035,-145.46,57.15,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.629Z,-0.0591,-0.8389,0.5417,-0.0037,-0.0044,-0.0271,-0.0021,-0.002,-0.0047,-145.47,57.15,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.639Z,-0.0594,-0.8397,0.5413,0.003,-0.0102,-0.0238,0.0015,-0.0011,-0.0032,-145.47,57.15,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.649Z,-0.0588,-0.8398,0.5406,-0.0058,-0.004,-0.022,0.0011,-0.0031,-0.0047,-145.47,57.15,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.660Z,-0.0594,-0.8399,0.5414,-0.0045,-0.0014,-0.0185,-0.0004,-0.0029,-0.0022,-145.47,57.15,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.669Z,-0.06,-0.8405,0.5406,0.0038,-0.0037,-0.0212,-0.0014,-0.0027,-0.0049,-145.47,57.16,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.681Z,-0.059,-0.841,0.5415,-0.0052,0.0076,-0.024,0.0008,-0.0037,-0.0057,-145.47,57.16,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.689Z,-0.0594,-0.8408,0.5405,-0.0052,0.0076,-0.024,0.0005,-0.0019,-0.0046,-145.47,57.16,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.700Z,-0.0595,-0.8401,0.5401,0.0017,0.0007,-0.017,0.0029,-0.0003,-0.0049,-145.47,57.16,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.709Z,-0.0589,-0.839,0.5412,-0.0018,-0.0052,-0.014,-0.0001,-0.0019,-0.0043,-145.47,57.16,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.719Z,-0.0592,-0.8387,0.5409,-0.0025,-0.0155,-0.0234,0.0042,-0.0009,-0.0055,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.729Z,-0.0596,-0.8404,0.5407,0.0024,-0.0096,-0.0226,0.0026,-0.0011,-0.0044,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.739Z,-0.0591,-0.8395,0.5396,0.0011,-0.0013,-0.0109,0.0014,-0.0018,-0.0037,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.749Z,-0.0595,-0.84,0.5414,-0.0005,-0.0078,-0.0152,0.0021,-0.0023,-0.0041,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.760Z,-0.0602,-0.8395,0.5409,0.0052,-0.0038,-0.0238,0.0008,-0.0009,-0.0073,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.767Z,-0.0595,-0.8402,0.5406,0.0063,-0.0075,-0.0211,0.0008,-0.0009,-0.0073,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.781Z,-0.0596,-0.8396,0.5407,0.002,-0.0127,-0.0236,0.0011,-0.0014,-0.0044,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.789Z,-0.0594,-0.8386,0.542,0.002,-0.0127,-0.0236,0.0022,-0.0012,-0.0059,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.799Z,-0.06,-0.8396,0.5411,0.0014,-0.0173,-0.0298,0.0008,-0.0027,-0.0036,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.810Z,-0.059,-0.8401,0.5408,0.003,-0.0009,-0.018,0.004,-0.0017,-0.004,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.819Z,-0.0598,-0.84,0.5405,-0.003,-0.003,-0.0187,0.0033,0.0001,-0.0025,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.831Z,-0.0598,-0.8392,0.5404,0.003,-0.0111,-0.014,0.003,-0.002,-0.005,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.839Z,-0.0596,-0.8388,0.5403,0.003,-0.0111,-0.014,0.0056,-0.0022,-0.0061,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.849Z,-0.0598,-0.8399,0.5405,0.002,-0.0146,-0.0168,0.0036,-0.0043,-0.0031,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.860Z,-0.0601,-0.8399,0.5418,0.0038,-0.0026,-0.0199,0.0038,-0.002,-0.0058,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.869Z,-0.0598,-0.8399,0.5406,0.0033,-0.0026,-0.0302,0.0044,-0.0021,-0.0041,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.881Z,-0.0593,-0.8393,0.5405,-0.0055,-0.0086,-0.0209,0.0065,-0.0005,-0.0044,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.890Z,-0.0588,-0.8396,0.5402,-0.0055,-0.0086,-0.0209,0.0052,-0.0006,-0.0057,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.899Z,-0.0597,-0.8408,0.5402,-0.0027,-0.0024,-0.0067,0.0052,0.0006,-0.0034,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.909Z,-0.0591,-0.8393,0.5416,0.004,-0.001,-0.0183,0.0043,-0.0042,-0.0046,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.919Z,-0.0598,-0.8389,0.5415,-0.0029,-0.0123,-0.0287,0.0073,-0.0034,-0.0026,-145.47,57.18,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.930Z,-0.0599,-0.8394,0.5412,0.0026,-0.0075,-0.0219,0.0061,-0.0032,-0.0043,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.939Z,-0.0602,-0.8398,0.541,0.0026,-0.0075,-0.0219,0.0079,-0.0037,-0.0056,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.949Z,-0.0598,-0.84,0.541,0.0071,-0.0021,-0.0204,0.0054,-0.002,-0.0057,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.959Z,-0.0597,-0.8406,0.5403,0.0012,-0.0022,-0.019,0.0067,-0.0039,-0.0034,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.968Z,-0.0594,-0.8404,0.5407,0.0041,0.0017,-0.0111,0.0085,-0.0015,-0.0041,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.980Z,-0.0589,-0.8396,0.5415,0.0004,-0.0074,-0.0237,0.0077,-0.0026,-0.0078,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:13.987Z,-0.0598,-0.8403,0.5415,0.0004,-0.0074,-0.0237,0.0077,-0.0026,-0.0078,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:14.001Z,-0.0594,-0.8403,0.5418,0,-0.0015,-0.0225,0.0039,-0.0023,-0.0007,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:14.009Z,-0.0591,-0.8395,0.5403,0,-0.0015,-0.0225,0.0049,0.0013,-0.0065,-145.47,57.17,-173.71,135,8,5,1,Bench,2
2026-04-04T05:13:14.019Z,-0.0587,-0.8398,0.5408,-0.0066,-0.0077,-0.0094,0.0047,-0.0008,-0.0061,-145.47,57.16,-173.71,135,8,5,1,Bench,2
