time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T23:01:20.642Z,-0.0558,-0.7214,-0.6984,-0.0007,0.0463,0.0237,0.0015,-0.0012,-0.0054,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.644Z,-0.0572,-0.7204,-0.7027,-0.0007,0.0463,0.0237,0.001,-0.0001,-0.0041,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.654Z,-0.0564,-0.716,-0.7023,-0.0023,0.0451,0.0246,0.0045,-0.0028,-0.005,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.664Z,-0.0566,-0.7198,-0.7018,-0.0059,0.0719,0.0245,0.0057,-0.0038,-0.0069,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.674Z,-0.0558,-0.7193,-0.7013,-0.0135,0.0716,0.0159,0.0007,-0.0033,-0.0044,-168.82,45.44,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.684Z,-0.0557,-0.719,-0.7006,-0.0059,0.0617,0.0076,0.0041,-0.0033,-0.005,-168.82,45.44,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.694Z,-0.0565,-0.7199,-0.6996,-0.0001,0.082,0.0024,0.0041,-0.0013,-0.0019,-168.82,45.44,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.704Z,-0.0568,-0.7203,-0.7004,-0.0004,0.0727,0.0247,0.0047,-0.0003,-0.0075,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.714Z,-0.0564,-0.7204,-0.7016,-0.005,0.0684,0.0102,0.0055,-0.002,-0.0022,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.724Z,-0.0564,-0.7188,-0.7002,-0.0014,0.0691,0.0106,0.0046,0.0006,-0.0047,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.735Z,-0.0571,-0.7204,-0.7,0.0041,0.078,0.0063,0.0047,-0.003,-0.0031,-168.82,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.745Z,-0.0572,-0.7206,-0.7005,0.0021,0.0803,0.012,0.005,-0.0045,-0.0021,-168.81,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.754Z,-0.0565,-0.7202,-0.7005,-0.0099,0.0705,0.0185,0.0047,-0.0013,-0.002,-168.81,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.764Z,-0.056,-0.7197,-0.7006,-0.0027,0.0699,-0.0038,0.0041,-0.0037,-0.0037,-168.81,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.774Z,-0.0568,-0.7191,-0.6992,-0.0023,0.0572,0.01,0.0053,-0.0032,-0.0047,-168.81,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.785Z,-0.0564,-0.7189,-0.7007,-0.0121,0.0794,0.0155,0.0041,-0.0017,-0.0043,-168.81,45.44,-4.64,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.794Z,-0.0557,-0.7212,-0.7011,-0.0057,0.0797,0.0144,0.0033,-0.0024,-0.0006,-168.81,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.804Z,-0.0565,-0.7204,-0.7001,-0.0042,0.0703,-0.0008,0.0055,-0.0039,-0.0037,-168.81,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.814Z,-0.056,-0.7209,-0.699,-0.0065,0.0889,-0.0017,0.0054,-0.0013,-0.0023,-168.8,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.825Z,-0.0565,-0.7212,-0.699,-0.004,0.081,0.0027,0.0055,-0.0045,-0.004,-168.8,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.835Z,-0.0563,-0.7206,-0.7001,-0.0004,0.0657,0.0095,0.0032,-0.0037,-0.0043,-168.8,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.847Z,-0.0572,-0.7194,-0.7007,0.0073,0.0715,0.0151,0.003,-0.0029,-0.0055,-168.8,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.854Z,-0.0578,-0.7197,-0.7002,0.0027,0.0669,0.0109,0.003,-0.0029,-0.0055,-168.8,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.864Z,-0.0571,-0.7197,-0.7004,0.0049,0.0747,0.0093,0.0057,-0.0034,-0.0027,-168.8,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.875Z,-0.0572,-0.7211,-0.7,0.0052,0.0886,0.0048,0.0019,-0.0016,-0.0057,-168.8,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.885Z,-0.0575,-0.7226,-0.6987,0.0029,0.0957,-0.0058,0.0025,-0.0037,-0.002,-168.79,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.895Z,-0.0567,-0.7216,-0.6992,-0.0012,0.0872,0.0034,0.0027,-0.0015,-0.0053,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.904Z,-0.0566,-0.7215,-0.6995,-0.0047,0.0802,0.0072,0.0046,-0.0025,-0.0047,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.914Z,-0.0564,-0.7203,-0.7005,-0.0035,0.0703,0.0163,0.0007,0.0003,-0.0036,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.925Z,-0.0565,-0.7196,-0.7009,-0.0037,0.0733,0.013,0.0019,-0.0036,-0.0038,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.935Z,-0.0566,-0.7211,-0.6996,0.0032,0.0697,-0.0007,0.0027,-0.0024,-0.0044,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.947Z,-0.0571,-0.718,-0.6988,-0.0007,0.0543,-0.0035,0.0023,-0.0021,-0.0004,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
