time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Week
2026-04-08T00:42:21.905Z,0.0676,-0.3623,-0.9349,-0.006,0.0214,0.0711,0.0024,-0.0013,-0.0053,171.71,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.915Z,0.0679,-0.3654,-0.9375,-0.0067,0.0459,0.0692,0,-0.0023,-0.0056,171.71,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.926Z,0.0669,-0.3641,-0.9359,-0.001,0.0235,0.0528,0.0011,-0.0017,-0.0018,171.71,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.935Z,0.0672,-0.3619,-0.9336,-0.0019,0.0082,0.0333,0.0016,-0.0032,-0.0034,171.71,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.946Z,0.0671,-0.3611,-0.9333,-0.0026,0.0033,0.0313,0.0019,0.0013,-0.0033,171.71,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.956Z,0.0672,-0.3631,-0.9359,-0.0053,0.0189,0.0595,0.0028,-0.0048,-0.0046,171.71,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.965Z,0.0677,-0.3632,-0.9368,-0.0061,0.0228,0.0669,0.0007,-0.0025,-0.0036,171.71,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.976Z,0.0667,-0.3643,-0.937,0.0019,0.0301,0.0646,0.0021,-0.0047,-0.0039,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.986Z,0.0671,-0.3619,-0.936,-0.0025,0.006,0.0572,0.0023,-0.0043,-0.0047,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:21.996Z,0.067,-0.3616,-0.934,0.0011,0.0072,0.034,0.0029,-0.0038,-0.0063,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.006Z,0.0668,-0.3628,-0.9342,0.0005,0.0203,0.0412,0.0019,-0.0048,-0.003,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.016Z,0.0672,-0.3636,-0.9365,-0.0011,0.0259,0.0627,0.0027,-0.0039,-0.0061,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.026Z,0.0671,-0.363,-0.9365,-0.001,0.0202,0.0604,0.0023,-0.001,-0.0054,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.036Z,0.0667,-0.3629,-0.9351,0.0026,0.0146,0.0484,0.0025,-0.0029,-0.0039,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.046Z,0.0667,-0.3613,-0.9337,0.0013,0.0031,0.032,0.0017,-0.0023,-0.0059,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.056Z,0.0681,-0.3622,-0.9335,-0.0117,0.0114,0.0374,0.0023,-0.0025,-0.003,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.066Z,0.0679,-0.3632,-0.9365,-0.01,0.0224,0.0655,0.0038,-0.0019,-0.0041,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.075Z,0.0682,-0.3635,-0.9376,-0.0102,0.0239,0.072,0.0043,0,-0.0049,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.086Z,0.0672,-0.3634,-0.9368,-0.0026,0.0245,0.0654,0.0035,-0.0003,-0.0031,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.096Z,0.0668,-0.3615,-0.9358,-0.0006,0.0055,0.0528,0.0032,-0.0035,-0.0061,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.106Z,0.0675,-0.3618,-0.9335,-0.0052,0.0095,0.0312,0.0038,-0.0021,-0.0047,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.116Z,0.0674,-0.3629,-0.9342,-0.0047,0.0199,0.0434,0.0042,-0.0015,-0.0033,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.126Z,0.0679,-0.3636,-0.9371,-0.0106,0.0242,0.069,0.0029,-0.003,-0.0023,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.136Z,0.0681,-0.3631,-0.9359,-0.0098,0.0209,0.0532,0.0027,-0.0025,-0.0049,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.146Z,0.0675,-0.363,-0.9351,-0.006,0.0163,0.0484,0.0051,-0.0007,-0.0042,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.156Z,0.0677,-0.362,-0.9349,-0.0085,0.0128,0.0446,0.0023,-0.0013,-0.0034,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.167Z,0.0677,-0.3636,-0.9348,-0.0048,0.0259,0.0448,0.0047,-0.0026,-0.0055,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.176Z,0.0678,-0.3636,-0.9348,-0.0077,0.0257,0.0484,0.0039,-0.0026,-0.0047,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.186Z,0.0677,-0.3636,-0.9364,-0.0073,0.0265,0.061,0.0028,-0.0018,-0.0027,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.196Z,0.068,-0.3638,-0.9351,-0.0102,0.0254,0.0474,0.0041,-0.0025,-0.0057,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.206Z,0.0672,-0.3628,-0.9348,-0.001,0.0184,0.0439,0.0033,-0.0026,-0.0034,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.217Z,0.0678,-0.3633,-0.9346,-0.0095,0.0215,0.0451,0.0028,-0.0007,-0.0037,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.226Z,0.0675,-0.3634,-0.9353,-0.0047,0.0233,0.0523,0.0057,-0.0028,-0.0054,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.235Z,0.0677,-0.3638,-0.937,-0.0069,0.0262,0.0692,0.0032,-0.0013,-0.0029,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.246Z,0.0672,-0.3632,-0.9356,-0.0002,0.0184,0.0523,0.002,-0.0029,-0.0035,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.256Z,0.0673,-0.3622,-0.9343,-0.0029,0.0104,0.0405,-0.0004,-0.0006,-0.0058,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.267Z,0.0669,-0.3626,-0.9329,0.0001,0.016,0.0271,0.0018,-0.002,-0.0035,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.276Z,0.0667,-0.3623,-0.9355,0.004,0.0133,0.0565,0.0036,0.0002,-0.0045,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.286Z,0.0671,-0.3638,-0.9363,-0.0032,0.0282,0.0604,0.0022,-0.0035,-0.002,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.296Z,0.0678,-0.3637,-0.936,-0.0076,0.0253,0.0581,0.0027,-0.0034,-0.0042,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.306Z,0.0672,-0.363,-0.9357,-0.0025,0.0195,0.0525,0.0018,-0.0037,-0.0028,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.316Z,0.067,-0.3625,-0.9336,-0.0009,0.0137,0.031,0.0009,-0.0026,-0.0032,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.326Z,0.0675,-0.3629,-0.9334,-0.0058,0.0197,0.0332,0.0013,-0.0048,-0.0062,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.336Z,0.0676,-0.3638,-0.9355,-0.0044,0.0254,0.0582,0.0017,-0.002,-0.0028,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.346Z,0.0666,-0.3631,-0.9363,0.0028,0.0186,0.059,0.0014,-0.0032,-0.0038,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.356Z,0.0674,-0.3634,-0.9353,-0.0059,0.0215,0.0524,-0.0003,-0.0025,-0.0052,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.367Z,0.0671,-0.3631,-0.9351,-0.0017,0.0193,0.0457,0.0021,-0.0008,-0.0052,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.376Z,0.0676,-0.363,-0.9342,-0.0047,0.0201,0.04,0.0025,-0.0019,-0.006,171.72,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.386Z,0.0673,-0.3632,-0.9347,-0.0032,0.0228,0.0482,-0.0015,-0.0031,-0.004,171.73,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.396Z,0.0681,-0.3639,-0.9355,-0.0107,0.0257,0.0523,0.0005,-0.0022,-0.0044,171.73,21.17,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.406Z,0.0676,-0.3625,-0.9355,-0.0042,0.0128,0.0515,0.001,-0.003,-0.0045,171.73,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.418Z,0.0679,-0.3625,-0.9353,-0.0073,0.0151,0.0466,0.0024,-0.0031,-0.0055,171.73,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.426Z,0.0675,-0.3628,-0.9342,-0.0036,0.0147,0.0392,0.0016,-0.0043,-0.0061,171.73,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.436Z,0.0674,-0.362,-0.9349,-0.0052,0.0113,0.0497,0.0014,-0.0021,-0.0029,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.446Z,0.067,-0.3633,-0.9361,0.0009,0.0226,0.056,0.001,-0.0021,-0.0058,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.456Z,0.0669,-0.3624,-0.936,0.0009,0.0162,0.0608,0.0043,-0.0052,-0.0036,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.468Z,0.0663,-0.3628,-0.9366,0.0045,0.0169,0.0607,0.0025,-0.0013,-0.0042,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.476Z,0.067,-0.362,-0.9349,0.0003,0.0096,0.0444,0.002,-0.0028,-0.0039,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.486Z,0.068,-0.3623,-0.934,-0.0093,0.0137,0.0393,0.0002,-0.0037,-0.0045,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.496Z,0.0675,-0.3632,-0.9363,-0.0052,0.0213,0.0622,0.0015,-0.0035,-0.0066,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.506Z,0.0681,-0.3626,-0.9368,-0.011,0.015,0.0635,-0.0001,-0.0014,-0.0044,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.516Z,0.0675,-0.362,-0.9358,-0.0068,0.0097,0.0524,0.0021,-0.0045,-0.0049,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.526Z,0.0684,-0.3625,-0.9344,-0.013,0.0166,0.0423,0.0015,0.0003,-0.0046,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.536Z,0.0674,-0.3624,-0.9351,-0.0031,0.0134,0.049,0.0015,-0.0022,-0.0045,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.546Z,0.0669,-0.3626,-0.9354,0,0.018,0.0511,0.0006,-0.0051,-0.005,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.556Z,0.0672,-0.3632,-0.9352,-0.0042,0.0233,0.0485,0.0025,-0.0012,-0.0057,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.566Z,0.0681,-0.3633,-0.9357,-0.0103,0.0206,0.0577,0.0004,-0.0042,-0.0038,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.576Z,0.0674,-0.3622,-0.9359,-0.006,0.0121,0.0552,0.0032,-0.0056,-0.0017,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.586Z,0.0679,-0.3623,-0.9339,-0.0107,0.0155,0.0362,0.002,-0.0029,-0.0036,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.596Z,0.0679,-0.3626,-0.935,-0.0087,0.0181,0.0493,0.0029,-0.0033,-0.0065,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.606Z,0.0675,-0.3622,-0.9365,-0.0072,0.0154,0.0635,0.0024,-0.002,-0.0038,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.617Z,0.068,-0.3639,-0.9363,-0.0089,0.0294,0.0578,0.0032,-0.0036,-0.004,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.626Z,0.0674,-0.3624,-0.9358,-0.0042,0.0129,0.0533,0.0032,-0.0042,-0.0071,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.636Z,0.068,-0.3627,-0.9347,-0.0106,0.0178,0.0459,0.003,-0.0022,-0.0019,171.72,21.16,4.12,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.646Z,0.0677,-0.3629,-0.9353,-0.0073,0.0199,0.0511,0.0029,-0.0018,-0.0033,171.72,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.657Z,0.0668,-0.3634,-0.9359,0.0012,0.0263,0.0549,0.0022,-0.0019,-0.003,171.72,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.665Z,0.0676,-0.3638,-0.9356,-0.0063,0.0275,0.0531,0.0045,-0.0026,-0.0031,171.72,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.676Z,0.0678,-0.3639,-0.9359,-0.0096,0.0303,0.0548,0.0043,-0.003,-0.0035,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.687Z,0.0671,-0.3637,-0.9349,0.0004,0.0268,0.0441,0.0033,-0.0016,-0.0038,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.696Z,0.0666,-0.3632,-0.9341,0,0.0227,0.0403,0.0027,-0.0026,-0.0048,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.708Z,0.068,-0.3627,-0.9351,-0.0121,0.0175,0.0478,0.002,-0.0016,-0.0052,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.715Z,0.0678,-0.3634,-0.9361,-0.0096,0.0244,0.0593,0.0047,-0.0041,-0.0044,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.729Z,0.068,-0.363,-0.9356,-0.0106,0.0192,0.0519,0.0017,-0.0011,-0.0066,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.735Z,0.0671,-0.3629,-0.9346,-0.0018,0.018,0.0431,0.0007,-0.0035,-0.0032,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.746Z,0.0675,-0.3625,-0.9344,-0.006,0.0144,0.0398,0.0012,-0.0012,-0.0064,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.756Z,0.0673,-0.3626,-0.935,-0.0023,0.0186,0.0462,0.0042,-0.0007,-0.0005,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.766Z,0.0674,-0.3632,-0.9353,-0.0055,0.0233,0.05,0.0041,-0.0013,-0.0042,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.776Z,0.0679,-0.3645,-0.9351,-0.0091,0.0348,0.0485,0.0058,-0.0034,-0.0073,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.786Z,0.0682,-0.364,-0.9355,-0.0121,0.0284,0.0531,0.0062,-0.0025,-0.0041,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.796Z,0.0674,-0.3631,-0.9355,-0.0051,0.0189,0.049,0.0021,-0.0048,-0.0063,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.806Z,0.0671,-0.3623,-0.935,-0.0018,0.0108,0.0481,0.0034,-0.0042,-0.0027,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.816Z,0.0671,-0.3628,-0.9355,0.0006,0.0174,0.0514,0.0019,-0.0037,-0.0047,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.826Z,0.0667,-0.3636,-0.935,0.0008,0.025,0.0477,0.003,-0.0037,-0.0031,171.73,21.16,4.11,225,5,6,3,Deadlift,2
2026-04-08T00:42:22.837Z,0.0672,-0.3632,-0.9348,-0.0043,0.0211,0.0456,0.0011,-0.002,-0.0051,171.73,21.16,4.11,225,5,6,3,Deadlift,2
