time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Week
2026-04-08T20:12:39.895Z,0.0672,-0.4105,-0.9144,0.0021,0.0098,0.0285,0.0013,-0.0019,-0.005,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.907Z,0.0651,-0.4124,-0.9138,0.0039,0.038,0.0432,0.0048,-0.0042,-0.0038,176.94,24.13,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.917Z,0.0651,-0.4124,-0.9169,0.0027,0.0295,0.0642,0.0027,-0.003,-0.0019,176.94,24.13,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.928Z,0.0665,-0.4078,-0.9142,-0.0104,-0.0126,0.0478,0.0023,-0.0017,-0.0027,176.94,24.13,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.938Z,0.0675,-0.4093,-0.9173,-0.0194,0.0132,0.0687,0.0055,-0.0036,-0.0045,176.94,24.13,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.946Z,0.0675,-0.4093,-0.9173,-0.0194,0.0132,0.0687,0.0055,-0.0036,-0.0045,176.94,24.13,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.958Z,0.0673,-0.4118,-0.9126,-0.016,0.0296,0.0241,0.0028,-0.0052,-0.0029,176.94,24.13,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.967Z,0.0673,-0.4118,-0.9126,-0.016,0.0296,0.0241,0.0055,-0.0044,-0.0053,176.94,24.13,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.978Z,0.0665,-0.4109,-0.9161,-0.0093,0.0138,0.0452,0.0027,-0.0042,-0.0034,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.988Z,0.0664,-0.41,-0.9135,-0.0066,0.0083,0.0393,0.003,-0.0059,-0.005,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:39.997Z,0.0652,-0.41,-0.917,-0.0066,0.0083,0.0393,0.003,-0.0059,-0.005,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.008Z,0.0647,-0.4111,-0.9161,0.0059,0.0252,0.0484,0.0028,-0.0055,-0.0029,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.017Z,0.0654,-0.4126,-0.9129,0.0059,0.0252,0.0484,0.0028,-0.0055,-0.0029,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.028Z,0.0661,-0.4132,-0.9148,-0.0055,0.0364,0.0502,0.0034,-0.0015,-0.0043,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.038Z,0.0663,-0.4105,-0.9155,-0.0099,0.0108,0.0478,0.0019,-0.0027,-0.006,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.047Z,0.0671,-0.4096,-0.9138,-0.0099,0.0108,0.0478,0.0019,-0.0027,-0.006,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.058Z,0.067,-0.4105,-0.9154,-0.0126,0.0209,0.0567,0.004,-0.0022,-0.0047,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.067Z,0.0666,-0.4122,-0.9159,-0.0126,0.0209,0.0567,0.004,-0.0022,-0.0047,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.079Z,0.067,-0.4121,-0.9149,-0.0126,0.0291,0.0428,0.0037,-0.0018,-0.0032,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.088Z,0.0659,-0.4118,-0.914,-0.0024,0.0249,0.0383,0.0037,-0.0018,-0.0032,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.097Z,0.0656,-0.4106,-0.9153,-0.0024,0.0249,0.0383,0.0022,-0.0035,-0.0046,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.109Z,0.0653,-0.4107,-0.9147,0.0025,0.0184,0.0425,0.0002,-0.0068,-0.0051,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.117Z,0.065,-0.4108,-0.9153,0.0025,0.0184,0.0425,0.0002,-0.0068,-0.0051,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.129Z,0.0662,-0.4111,-0.9162,-0.0069,0.0243,0.0574,0.0023,-0.0003,-0.0062,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.138Z,0.0659,-0.4119,-0.9162,-0.0032,0.0307,0.055,0.0023,-0.0003,-0.0062,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.147Z,0.0664,-0.4112,-0.9151,-0.0032,0.0307,0.055,-0.0001,-0.0012,-0.0027,176.94,24.14,4.12,225,5,7,4,Deadlift,2
2026-04-08T20:12:40.159Z,0.0666,-0.4101,-0.9161,-0.01,0.0136,0.06,0.0029,-0.0037,-0.0043,176.94,24.14,4.12,225,5,7,4,Deadlift,2
