time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Week
2026-04-07T03:09:37.691Z,0.0481,-0.248,-0.9731,0.0233,0.0141,0.0636,0.0019,-0.0006,-0.0052,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.697Z,0.0489,-0.2481,-0.9737,0.0212,0.0193,0.0564,0.0019,-0.0026,-0.0039,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.708Z,0.0496,-0.2479,-0.9728,0.0069,0.0157,0.0532,0.0027,-0.0013,-0.0065,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.717Z,0.0499,-0.2482,-0.9729,0.0049,0.0166,0.0468,0.0026,-0.0014,-0.0027,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.727Z,0.051,-0.2486,-0.9718,-0.0068,0.025,0.0427,0.0011,-0.0021,-0.0037,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.737Z,0.0519,-0.2478,-0.9717,-0.0119,0.0185,0.0332,0.0023,-0.0008,-0.0036,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.748Z,0.0534,-0.2481,-0.9731,-0.0269,0.0225,0.0449,0.0031,-0.0027,-0.0052,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.758Z,0.0534,-0.2464,-0.9746,-0.032,0.0071,0.0592,0.0022,-0.0032,-0.0045,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.767Z,0.0537,-0.2468,-0.9746,-0.0318,0.008,0.067,0.0011,-0.005,-0.0072,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.778Z,0.0545,-0.2456,-0.9732,-0.0357,-0.0011,0.0541,0.0027,-0.0018,-0.004,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.787Z,0.0542,-0.2454,-0.9724,-0.0422,-0.0068,0.0461,0.0026,-0.0039,-0.0058,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
2026-04-07T03:09:37.797Z,0.0548,-0.2452,-0.9725,-0.0432,-0.008,0.0465,0.0009,-0.0015,-0.0014,-174.71,14.25,2.97,85,8,6,4,Overhead Press,2
